key,testbed,class,multiplier,type,n,c,density,id,cfs_opt,cfs_time,cfs_nodes,cfs_timeout,heur_opt,heur_time,heur_restarts
main/C1/BPPC_1_0_10.txt_0.4,main,C,1,1,120,150,0.4,10,210,0.3488,1,0,210,0.0031,20
main/C1/BPPC_1_0_1.txt_0.4,main,C,1,1,120,150,0.4,1,200,0.3985,1,0,200,0.0027,20
main/C1/BPPC_1_0_1.txt_0.1,main,C,1,1,120,150,0.1,1,210,0.5560,1,0,210,0.0026,20
main/C1/BPPC_1_0_2.txt_0.1,main,C,1,1,120,150,0.1,2,210,0.5896,1,0,210,0.0031,20
main/C1/BPPC_1_0_1.txt_0.8,main,C,1,1,120,150,0.8,1,186,1.1060,104,0,180,0.0028,20
main/C1/BPPC_1_0_3.txt_0.1,main,C,1,1,120,150,0.1,3,210,0.6107,1,0,210,0.0030,20
main/C1/BPPC_1_0_3.txt_0.4,main,C,1,1,120,150,0.4,3,210,0.4260,18,0,210,0.0034,20
main/C1/BPPC_1_0_2.txt_0.4,main,C,1,1,120,150,0.4,2,200,1.1584,78,0,200,0.0031,20
main/C1/BPPC_1_0_3.txt_0.8,main,C,1,1,120,150,0.8,3,186,0.4450,400,0,180,0.0046,20
main/C1/BPPC_1_0_4.txt_0.1,main,C,1,1,120,150,0.1,4,210,0.5912,1,0,210,0.0035,20
main/C1/BPPC_1_0_4.txt_0.8,main,C,1,1,120,150,0.8,4,190,0.4170,1,0,180,0.0031,20
main/C1/BPPC_1_0_5.txt_0.8,main,C,1,1,120,150,0.8,5,183,1.1168,202,0,179,0.0029,20
main/C1/BPPC_2_0_1.txt_0.1,main,C,1,2,250,150,0.1,1,220,2.3352,1,0,220,0.0064,20
main/C1/BPPC_2_0_10.txt_0.1,main,C,1,2,250,150,0.1,10,220,2.3185,1,0,220,0.0067,20
main/C1/BPPC_2_0_10.txt_0.4,main,C,1,2,250,150,0.4,10,220,2.0397,1,0,210,0.0066,20
main/C1/BPPC_2_0_2.txt_0.4,main,C,1,2,250,150,0.4,2,210,2.0391,1,0,210,0.0065,20
main/C1/BPPC_2_0_2.txt_0.1,main,C,1,2,250,150,0.1,2,210,3.8029,1,0,210,0.0076,20
main/C1/BPPC_2_0_3.txt_0.1,main,C,1,2,250,150,0.1,3,220,3.4047,1,0,220,0.0070,20
main/C1/BPPC_2_0_3.txt_0.4,main,C,1,2,250,150,0.4,3,220,1.8470,1,0,210,0.0069,20
main/C1/BPPC_2_0_2.txt_0.8,main,C,1,2,250,150,0.8,2,195,6.4685,5,0,188,0.0063,20
main/C1/BPPC_2_0_1.txt_0.8,main,C,1,2,250,150,0.8,1,190,12.5813,241,0,180,0.0064,20
main/C1/BPPC_2_0_5.txt_0.4,main,C,1,2,250,150,0.4,5,220,2.1546,1,0,210,0.0060,20
main/C1/BPPC_2_0_10.txt_0.8,main,C,1,2,250,150,0.8,10,194,13.7867,270,0,187,0.0079,20
main/C1/BPPC_2_0_3.txt_0.8,main,C,1,2,250,150,0.8,3,190,14.2713,578,0,189,0.0062,20
main/C1/BPPC_3_0_2.txt_0.1,main,C,1,3,500,150,0.1,2,220,19.5640,1,0,220,0.0159,20
